 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=220 ttl=62 time=0.584 ms
64 bytes from 192.168.42.65: icmp_seq=221 ttl=62 time=0.400 ms
64 bytes from 192.168.42.65: icmp_seq=222 ttl=62 time=0.527 ms
64 bytes from 192.168.42.65: icmp_seq=223 ttl=62 time=0.447 ms
64 bytes from 192.168.42.65: icmp_seq=224 ttl=62 time=0.333 ms
64 bytes from 192.168.42.65: icmp_seq=225 ttl=62 time=0.670 ms
64 bytes from 192.168.42.65: icmp_seq=226 ttl=62 time=0.343 ms
64 bytes from 192.168.42.65: icmp_seq=227 ttl=62 time=0.276 ms
64 bytes from 192.168.42.65: icmp_seq=228 ttl=62 time=0.329 ms
64 bytes from 192.168.42.65: icmp_seq=229 ttl=62 time=0.302 ms
64 bytes from 192.168.42.65: icmp_seq=230 ttl=62 time=0.359 ms
64 bytes from 192.168.42.65: icmp_seq=231 ttl=62 time=0.303 ms
64 bytes from 192.168.42.65: icmp_seq=232 ttl=62 time=0.435 ms
64 bytes from 192.168.42.65: icmp_seq=233 ttl=62 time=0.286 ms
64 bytes from 192.168.42.65: icmp_seq=234 ttl=62 time=0.253 ms
64 bytes from 192.168.42.65: icmp_seq=235 ttl=62 time=0.266 ms
64 bytes from 192.168.42.65: icmp_seq=236 ttl=62 time=0.356 ms
64 bytes from 192.168.42.65: icmp_seq=237 ttl=62 time=0.226 ms
64 bytes from 192.168.42.65: icmp_seq=238 ttl=62 time=0.373 ms
64 bytes from 192.168.42.65: icmp_seq=239 ttl=62 time=0.319 ms
64 bytes from 192.168.42.65: icmp_seq=240 ttl=62 time=0.500 ms
64 bytes from 192.168.42.65: icmp_seq=241 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=242 ttl=62 time=0.686 ms
64 bytes from 192.168.42.65: icmp_seq=243 ttl=62 time=0.295 ms
64 bytes from 192.168.42.65: icmp_seq=244 ttl=62 time=0.253 ms
64 bytes from 192.168.42.65: icmp_seq=245 ttl=62 time=0.267 ms
64 bytes from 192.168.42.65: icmp_seq=246 ttl=62 time=0.388 ms
64 bytes from 192.168.42.65: icmp_seq=247 ttl=62 time=0.318 ms
64 bytes from 192.168.42.65: icmp_seq=248 ttl=62 time=0.353 ms
64 bytes from 192.168.42.65: icmp_seq=249 ttl=62 time=0.233 ms
64 bytes from 192.168.42.65: icmp_seq=250 ttl=62 time=0.546 ms
64 bytes from 192.168.42.65: icmp_seq=251 ttl=62 time=0.268 ms
64 bytes from 192.168.42.65: icmp_seq=252 ttl=62 time=0.237 ms
64 bytes from 192.168.42.65: icmp_seq=253 ttl=62 time=0.525 ms
64 bytes from 192.168.42.65: icmp_seq=254 ttl=62 time=0.230 ms
64 bytes from 192.168.42.65: icmp_seq=255 ttl=62 time=0.563 ms
64 bytes from 192.168.42.65: icmp_seq=256 ttl=62 time=0.278 ms
64 bytes from 192.168.42.65: icmp_seq=257 ttl=62 time=0.366 ms
64 bytes from 192.168.42.65: icmp_seq=258 ttl=62 time=0.294 ms
64 bytes from 192.168.42.65: icmp_seq=259 ttl=62 time=0.597 ms
64 bytes from 192.168.42.65: icmp_seq=260 ttl=62 time=0.637 ms
64 bytes from 192.168.42.65: icmp_seq=261 ttl=62 time=0.377 ms
64 bytes from 192.168.42.65: icmp_seq=262 ttl=62 time=0.452 ms
64 bytes from 192.168.42.65: icmp_seq=263 ttl=62 time=0.254 ms
64 bytes from 192.168.42.65: icmp_seq=264 ttl=62 time=0.350 ms
64 bytes from 192.168.42.65: icmp_seq=265 ttl=62 time=0.562 ms
64 bytes from 192.168.42.65: icmp_seq=266 ttl=62 time=0.301 ms
64 bytes from 192.168.42.65: icmp_seq=267 ttl=62 time=0.408 ms
64 bytes from 192.168.42.65: icmp_seq=268 ttl=62 time=0.529 ms
64 bytes from 192.168.42.65: icmp_seq=269 ttl=62 time=0.224 ms
64 bytes from 192.168.42.65: icmp_seq=270 ttl=62 time=0.306 ms
64 bytes from 192.168.42.65: icmp_seq=271 ttl=62 time=0.478 ms
64 bytes from 192.168.42.65: icmp_seq=272 ttl=62 time=0.263 ms
64 bytes from 192.168.42.65: icmp_seq=273 ttl=62 time=0.520 ms
64 bytes from 192.168.42.65: icmp_seq=274 ttl=62 time=0.355 ms
64 bytes from 192.168.42.65: icmp_seq=275 ttl=62 time=0.327 ms
64 bytes from 192.168.42.65: icmp_seq=276 ttl=62 time=0.468 ms
64 bytes from 192.168.42.65: icmp_seq=277 ttl=62 time=0.265 ms
64 bytes from 192.168.42.65: icmp_seq=278 ttl=62 time=0.245 ms
64 bytes from 192.168.42.65: icmp_seq=279 ttl=62 time=0.408 ms
64 bytes from 192.168.42.65: icmp_seq=280 ttl=62 time=0.271 ms
64 bytes from 192.168.42.65: icmp_seq=281 ttl=62 time=0.501 ms
64 bytes from 192.168.42.65: icmp_seq=282 ttl=62 time=1.61 ms
64 bytes from 192.168.42.65: icmp_seq=283 ttl=62 time=0.281 ms
64 bytes from 192.168.42.65: icmp_seq=284 ttl=62 time=0.593 ms
64 bytes from 192.168.42.65: icmp_seq=285 ttl=62 time=0.540 ms
64 bytes from 192.168.42.65: icmp_seq=286 ttl=62 time=0.279 ms
64 bytes from 192.168.42.65: icmp_seq=287 ttl=62 time=0.520 ms
64 bytes from 192.168.42.65: icmp_seq=288 ttl=62 time=0.260 ms
