 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=142 ttl=62 time=0.416 ms
64 bytes from 192.168.42.65: icmp_seq=143 ttl=62 time=0.630 ms
64 bytes from 192.168.42.65: icmp_seq=144 ttl=62 time=0.638 ms
64 bytes from 192.168.42.65: icmp_seq=145 ttl=62 time=0.329 ms
64 bytes from 192.168.42.65: icmp_seq=146 ttl=62 time=0.460 ms
64 bytes from 192.168.42.65: icmp_seq=147 ttl=62 time=0.321 ms
64 bytes from 192.168.42.65: icmp_seq=148 ttl=62 time=0.523 ms
64 bytes from 192.168.42.65: icmp_seq=149 ttl=62 time=0.485 ms
64 bytes from 192.168.42.65: icmp_seq=150 ttl=62 time=0.662 ms
64 bytes from 192.168.42.65: icmp_seq=151 ttl=62 time=0.729 ms
64 bytes from 192.168.42.65: icmp_seq=152 ttl=62 time=0.409 ms
64 bytes from 192.168.42.65: icmp_seq=153 ttl=62 time=0.329 ms
64 bytes from 192.168.42.65: icmp_seq=154 ttl=62 time=0.538 ms
64 bytes from 192.168.42.65: icmp_seq=155 ttl=62 time=0.394 ms
64 bytes from 192.168.42.65: icmp_seq=156 ttl=62 time=0.379 ms
64 bytes from 192.168.42.65: icmp_seq=157 ttl=62 time=0.611 ms
64 bytes from 192.168.42.65: icmp_seq=158 ttl=62 time=0.520 ms
64 bytes from 192.168.42.65: icmp_seq=159 ttl=62 time=0.387 ms
64 bytes from 192.168.42.65: icmp_seq=160 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=161 ttl=62 time=0.328 ms
64 bytes from 192.168.42.65: icmp_seq=162 ttl=62 time=0.557 ms
64 bytes from 192.168.42.65: icmp_seq=163 ttl=62 time=0.384 ms
64 bytes from 192.168.42.65: icmp_seq=164 ttl=62 time=0.542 ms
64 bytes from 192.168.42.65: icmp_seq=165 ttl=62 time=0.668 ms
64 bytes from 192.168.42.65: icmp_seq=166 ttl=62 time=0.389 ms
64 bytes from 192.168.42.65: icmp_seq=167 ttl=62 time=0.516 ms
64 bytes from 192.168.42.65: icmp_seq=168 ttl=62 time=0.425 ms
64 bytes from 192.168.42.65: icmp_seq=169 ttl=62 time=0.328 ms
64 bytes from 192.168.42.65: icmp_seq=170 ttl=62 time=0.315 ms
